Day,Time,Intensity
2014/06/18,17:19:55.306,1372.69365
2014/06/18,17:19:55.416,1366.99093
2014/06/18,17:19:55.516,1409.33991
2014/06/18,17:19:55.626,1447.1229
2014/06/18,17:19:55.736,1575.58639
2014/06/18,17:19:55.846,1828.50442
2014/06/18,17:19:55.956,1596.50726
2014/06/18,17:19:56.066,1587.71361
2014/06/18,17:19:56.176,1404.08231
2014/06/18,17:19:56.286,1642.67596
2014/06/18,17:19:56.396,2033.73923
2014/06/18,17:19:56.506,1650.86032
2014/06/18,17:19:56.616,1378.85125
2014/06/18,17:19:56.726,1583.2771
2014/06/18,17:19:56.826,1700.56576
2014/06/18,17:19:56.936,1524.75601
2014/06/18,17:19:57.046,1852.37732
2014/06/18,17:19:57.156,2809.15896
2014/06/18,17:19:57.266,2430.81655
2014/06/18,17:19:57.376,2142.95986
2014/06/18,17:19:57.486,2118.5449
2014/06/18,17:19:57.596,1646.44331
2014/06/18,17:19:57.706,1613.37937
2014/06/18,17:19:57.816,1613.61973
2014/06/18,17:19:57.926,1978.90476
2014/06/18,17:19:58.036,1471.67982
2014/06/18,17:19:58.146,1885.52721
2014/06/18,17:19:58.246,2199.09592
2014/06/18,17:19:58.356,1953.00317
2014/06/18,17:19:58.466,2211.06372
2014/06/18,17:19:58.576,2414.21882
2014/06/18,17:19:58.686,2221.17188
2014/06/18,17:19:58.796,2143.76871
2014/06/18,17:19:58.906,2023.35601
2014/06/18,17:19:59.016,1951.26463
2014/06/18,17:19:59.126,1853.8932
2014/06/18,17:19:59.236,2156.00794
2014/06/18,17:19:59.346,2331.69875
2014/06/18,17:19:59.456,1996.93968
2014/06/18,17:19:59.556,1611.82222
2014/06/18,17:19:59.666,1419.41247
2014/06/18,17:19:59.776,1552.42585
2014/06/18,17:19:59.886,1455.15828
2014/06/18,17:19:59.996,1431.95986
2014/06/18,17:20:00.106,1401.87868
2014/06/18,17:20:00.216,1378.44603
2014/06/18,17:20:00.326,1500.0161
2014/06/18,17:20:00.436,1444.7907
2014/06/18,17:20:00.546,1408.72619
2014/06/18,17:20:00.656,1539.26848
2014/06/18,17:20:00.766,1530.52812
2014/06/18,17:20:00.876,1384.67528
2014/06/18,17:20:00.976,1465.62676
2014/06/18,17:20:01.086,1669.26871
2014/06/18,17:20:01.196,1557.97914
2014/06/18,17:20:01.306,1515.20408
2014/06/18,17:20:01.416,1554.99048
2014/06/18,17:20:01.526,2055.44444
2014/06/18,17:20:01.636,1794.00408
2014/06/18,17:20:01.746,2063.78186
2014/06/18,17:20:01.856,1472.18141
2014/06/18,17:20:01.966,1631.03923
2014/06/18,17:20:02.076,1641.56984
2014/06/18,17:20:02.186,1481.37755
2014/06/18,17:20:02.286,1583.19773
2014/06/18,17:20:02.396,1566.33288
2014/06/18,17:20:02.506,1450.33129
2014/06/18,17:20:02.616,1717.24966
2014/06/18,17:20:02.726,1334.07687
2014/06/18,17:20:02.836,1679.07256
2014/06/18,17:20:02.946,2160.93741
2014/06/18,17:20:03.056,2480.5483
2014/06/18,17:20:03.166,2168.43356
2014/06/18,17:20:03.276,2547.21134
2014/06/18,17:20:03.386,2429.44172
2014/06/18,17:20:03.496,2777.99501
2014/06/18,17:20:03.606,2667.85397
2014/06/18,17:20:03.706,1851.16463
2014/06/18,17:20:03.816,1623.76054
2014/06/18,17:20:03.926,1399.47914
2014/06/18,17:20:04.036,1404.022
2014/06/18,17:20:04.146,1433.08946
2014/06/18,17:20:04.256,1520.86032
2014/06/18,17:20:04.366,1520.11837
2014/06/18,17:20:04.476,1421.4068
2014/06/18,17:20:04.586,1428.18141
2014/06/18,17:20:04.696,1377.91043
2014/06/18,17:20:04.806,1431.50748
2014/06/18,17:20:04.916,1256.80907
